#t,Tmin,Tmax,cpMin,cpMax,alphaMin,alphaMax,maxRelBlend,worstCell
1e-05,1184.49,1285.61,1338.19,1445.65,0,0,2.04465e-15,160
2e-05,1105.78,1275.67,1333.22,1532.21,0,0,-1,-1
3e-05,1048.44,1272.48,1324.43,1589.1,0,0,-1,-1
4e-05,1004.74,1278.42,1323.4,1640.14,0,0,-1,-1
5e-05,970.325,1295.07,1324.41,1683.19,0,0,-1,-1
6e-05,942.008,1323.37,1327.81,1719.63,0,0,-1,-1
6.86364e-05,921.4,1359.06,1332.65,1747.03,0,0,-1,-1
7.46818e-05,909.041,1393.29,1337.08,1764.37,0,0,-1,-1
7.95518e-05,900.714,1429.76,1341.32,1777.26,0,0,-1,-1
8.35157e-05,894.982,1468.21,1345.28,1786.86,0,0,-1,-1
8.67801e-05,891.142,1508.62,1349.01,1794.42,0,0,-1,-1
8.95465e-05,888.637,1552.29,1352.47,1801.35,0,0,-1,-1
9.19413e-05,887.133,1601.95,1356,1807.11,0,0,-1,-1
9.39941e-05,886.509,1660.91,1359.58,1811.86,0,0,-1,-1
9.57669e-05,886.737,1740.33,1363.06,1815.79,0,0,-1,-1
9.72643e-05,887.895,1878.3,1366.57,1818.98,0,0,-1,-1
9.85162e-05,890.293,2269,1370.25,1821.54,0,0,-1,-1
9.95063e-05,894.642,2549.4,1374.28,1823.51,0,0,-1,-1
0.000100206,902.682,2666.6,1379.18,1826.93,0,0,-1,-1
0.000100717,916.363,2716.07,1386.64,1829.76,0,0,-1,-1
0.000101171,935.448,2743.37,1397.87,1831.94,0,0,2.21663e-15,1041
0.000101589,954.208,2759.8,1409.82,1834.83,0,0,-1,-1
0.000101984,962.88,2769.93,1418.82,1837.05,0,0,-1,-1
0.000102354,965.682,2777.33,1425.07,1836.36,0,0,-1,-1
0.000102704,965.92,2785.63,1426.5,1836.97,0,0,-1,-1
0.000103039,965.549,2790.58,1427.56,1838.04,0,0,-1,-1
0.000103362,965.702,2793.08,1428.4,1839.06,0,0,-1,-1
0.000103679,966.416,2794.03,1429.1,1840.05,0,0,-1,-1
0.000103997,967.13,2793.93,1429.7,1841.01,0,0,-1,-1
0.000104317,967.525,2793.41,1430.4,1841.96,0,0,-1,-1
0.000104643,967.624,2798.12,1430.83,1842.9,0,0,-1,-1
0.000104975,967.639,2802.79,1431.2,1843.87,0,0,-1,-1
0.000105309,969.25,2806.53,1431.51,1844.82,0,0,-1,-1
0.000105649,973.315,2808.41,1431.67,1845.76,0,0,-1,-1
0.000105995,977.563,2807.93,1431.79,1846.67,0,0,-1,-1
0.000106348,979.916,2805.03,1431.92,1847.55,0,0,-1,-1
0.000106708,978.768,2799.69,1432.03,1848.39,0,0,-1,-1
0.000107077,978.27,2791.06,1431.98,1849.19,0,0,-1,-1
0.000107453,977.272,2777.23,1431.78,1849.92,0,0,-1,-1
0.000107837,976.2,2772.68,1431.81,1850.59,0,0,-1,-1
0.00010823,974.887,2768.02,1431.84,1851.16,0,0,3.48135e-15,2646
0.000108629,972.542,2761.85,1431.69,1851.6,0,0,-1,-1
0.000109036,970.947,2753.93,1431.43,1851.85,0,0,-1,-1
0.000109453,969.694,2744.58,1431.22,1851.89,0,0,-1,-1
0.000109879,967.344,2745.56,1431.1,1851.72,0,0,-1,-1
0.000110315,966.198,2749.3,1430.98,1851.37,0,0,-1,-1
0.000110758,963.434,2752.78,1430.74,1850.89,0,0,-1,-1
0.000111213,960.931,2756.36,1430.4,1850.28,0,0,-1,-1
0.000111682,958.603,2760.48,1429.96,1851.52,0,0,-1,-1
0.00011216,955.808,2763.34,1429.49,1853.19,0,0,-1,-1
0.000112649,952.674,2765.58,1428.95,1854.91,0,0,-1,-1
0.000113156,949.238,2767.11,1428.44,1856.72,0,0,-1,-1
0.000113687,945.008,2766.74,1427.9,1858.61,0,0,-1,-1
0.000114243,940.028,2765.74,1427.06,1860.59,0,0,-1,-1
0.000114828,934.357,2766.35,1425.74,1862.64,0,0,-1,-1
0.000115457,927.7,2766.62,1424.29,1864.84,0,0,-1,-1
0.000116147,919.73,2765.03,1422.74,1867.24,0,0,-1,-1
0.000116916,910.191,2763.01,1421.13,1869.93,0,0,-1,-1
0.000117775,899.351,2762.95,1419.62,1872.96,0,0,-1,-1
0.000118747,887.253,2763.12,1418.35,1876.42,0,0,-1,-1
0.000119878,875.15,2762.04,1417.79,1880.53,0,0,2.62582e-15,1760
0.000121234,865.163,2764.72,1418.19,1885.6,0,0,-1,-1
0.000122785,861.861,2717.67,1412.68,1891.59,0,0,-1,-1
0.000124153,876.946,2695.14,1363.18,1896.67,0,0,-1,-1
0.000125072,893.241,2676.12,1319.51,1896.41,0,0,-1,-1
0.000125843,907.764,2665.01,1282.58,1897.97,0,0,-1,-1
0.000126536,917.054,2656.42,1252.73,1896.99,0,0,-1,-1
0.000127186,924.974,2646.35,1228.85,1896.08,0,0,-1,-1
0.000127807,931.483,2649.52,1209.85,1896.7,0,0,-1,-1
0.000128406,935.259,2661.2,1194.73,1896.23,0,0,-1,-1
0.000128996,933.616,2678.99,1182.55,1895.68,0,0,-1,-1
0.000129572,931.743,2699.11,1172.85,1896.56,0,0,-1,-1
0.000130132,930.143,2718.71,1165.16,1896.93,0,0,-1,-1
0.000130682,929.201,2736.96,1159.01,1897.27,0,0,-1,-1
0.000131219,928.388,2753.66,1153.97,1898.72,0,0,-1,-1
0.00013175,922.52,2768.04,1149.53,1901.29,0,0,-1,-1
0.000132271,917.197,2781.01,1145.83,1904.79,0,0,-1,-1
0.000132789,912.387,2791.73,1142.77,1908.16,0,0,-1,-1
0.000133306,908.134,2800.21,1140.27,1911.45,0,0,-1,-1
0.000133827,904.403,2806.77,1138.23,1915.35,0,0,-1,-1
0.000134355,900.152,2811.65,1136.59,1919.41,0,0,2.99773e-15,1509
0.000134898,897.622,2815.17,1135.27,1923.57,0,0,-1,-1
0.000135465,894.766,2817.78,1134.22,1927.87,0,0,-1,-1
0.000136067,893.2,2820.04,1133.41,1932.37,0,0,-1,-1
0.000136707,891.696,2822.06,1132.8,1936.99,0,0,-1,-1
